Id,Label,degree,weighted degree,modularity_class,主体类型,领域方向,功能定位
求是网,求是网,7665,11130,1,媒体平台,其他,
人民日报评论,人民日报评论,4921,6583,1,媒体平台,社会民生,
中国社会科学网,中国社会科学网,4768,6991,1,高校/学术机构,其他,学术研究
红旗文稿,红旗文稿,4615,5933,1,其他,其他,
人民日报理论,人民日报理论,4565,6547,1,媒体平台,党建理论,
党建网微平台,党建网微平台,4483,6287,1,媒体平台,党建理论,资源整合
学习时报,学习时报,3553,4644,1,媒体平台,社会民生,
宣讲家网,宣讲家网,4159,5533,1,媒体平台,其他,
中央纪委国家监委网站,中央纪委国家监委网站,3227,4308,1,政府机构,其他,
人民论坛网,人民论坛网,4373,5657,1,媒体平台,学术研究,
思想火炬,思想火炬,3091,4342,1,其他,其他,
中国学派,中国学派,4629,9097,2,其他,传统文化,文化传播
中国历史研究院,中国历史研究院,3298,5641,1,高校/学术机构,学术研究,学术研究
马克思主义研究,马克思主义研究,2825,4160,1,高校/学术机构,学术研究,学术研究
新湘评论,新湘评论,2709,3496,1,自媒体/个人,其他,
人民政协报,人民政协报,2443,3065,1,政府机构,社会民生,
司法部,司法部,2378,2919,1,其他,其他,
中国纪检监察报,中国纪检监察报,2142,2591,1,政府机构,党建理论,
中共中央党校(国家行政学院),中共中央党校(国家行政学院),2051,2427,1,政府机构,学术研究,
网信中国,网信中国,2406,3020,1,媒体平台,其他,
中国文明网,中国文明网,2118,2420,1,媒体平台,文旅国资,
中国组织人事报,中国组织人事报,1948,2266,1,媒体平台,党建理论,
光明理论,光明理论,2398,2980,1,其他,党建理论,
世界社会主义研究,世界社会主义研究,1998,2504,1,高校/学术机构,学术研究,学术研究
机关党建研究,机关党建研究,2012,2473,1,政府机构,学术研究,学术研究
解放军报,解放军报,1764,1999,1,媒体平台,社会民生,
奋斗理论圈,奋斗理论圈,1845,2290,1,其他,党建理论,
理论之光,理论之光,2092,2703,1,其他,党建理论,
最高人民检察院,最高人民检察院,1949,2359,1,政府机构,其他,
贵州省纪委监委网站,贵州省纪委监委网站,1610,1813,1,政府机构,地方政务,
前线理论圈,前线理论圈,1645,1963,1,其他,党建理论,
统战新语,统战新语,1906,2292,1,其他,党建理论,
山东省纪委监委网站,山东省纪委监委网站,1693,2112,1,政府机构,地方政务,
共产党员,共产党员,1802,2158,1,其他,党建理论,
学习大国,学习大国,1634,1866,1,其他,其他,
冰城微学习,冰城微学习,1549,1759,1,其他,其他,
PBC清廉金融,PBC清廉金融,1483,1727,1,政府机构,党建理论,
